trade_date,volume_raw,amount_raw,open_raw,high_raw,low_raw,close_raw,change_raw,trades_raw
2026-03-02,"57,404,594","113,190,016,272","1,940.00","1,995.00","1,940.00","1,975.00",-20.00,"325,611"
2026-03-03,"54,577,298","106,561,209,060","1,970.00","1,980.00","1,935.00","1,935.00",-40.00,"528,433"
2026-03-04,"84,647,010","159,499,070,920","1,895.00","1,910.00","1,865.00","1,865.00",-70.00,"728,396"
2026-03-05,"56,489,914","108,468,004,433","1,940.00","1,960.00","1,895.00","1,900.00",+35.00,"235,975"
2026-03-06,"34,307,388","64,781,776,164","1,880.00","1,900.00","1,880.00","1,890.00",-10.00,"202,376"
2026-03-09,"94,441,296","169,437,885,289","1,775.00","1,810.00","1,770.00","1,810.00",-80.00,"744,799"
2026-03-10,"46,926,862","87,458,820,143","1,870.00","1,890.00","1,830.00","1,850.00",+40.00,"234,136"
2026-03-11,"39,238,328","75,243,103,048","1,885.00","1,950.00","1,875.00","1,940.00",+90.00,"124,214"
2026-03-12,"40,662,382","77,082,966,123","1,900.00","1,915.00","1,885.00","1,885.00",-55.00,"236,370"
2026-03-13,"36,317,450","67,622,758,569","1,840.00","1,885.00","1,840.00","1,865.00",-20.00,"223,622"
2026-03-16,"35,401,289","65,728,459,791","1,875.00","1,880.00","1,845.00","1,845.00",-20.00,"221,249"
2026-03-17,"26,754,183","50,039,306,073","1,875.00","1,880.00","1,860.00","1,870.00",X0.00,"81,783"
2026-03-18,"25,694,925","48,868,043,836","1,900.00","1,910.00","1,890.00","1,905.00",+35.00,"77,134"
2026-03-19,"38,750,629","72,170,579,700","1,875.00","1,880.00","1,850.00","1,850.00",-55.00,"386,193"
2026-03-20,"53,705,722","99,109,745,990","1,860.00","1,870.00","1,840.00","1,840.00",-10.00,"208,042"
2026-03-23,"41,950,478","75,569,592,075","1,790.00","1,815.00","1,785.00","1,810.00",-30.00,"360,785"
2026-03-24,"30,569,936","55,773,861,470","1,850.00","1,850.00","1,800.00","1,810.00", 0.00,"125,816"
2026-03-25,"46,664,345","86,692,213,662","1,865.00","1,875.00","1,845.00","1,845.00",+35.00,"92,102"
2026-03-26,"24,634,887","45,564,939,400","1,850.00","1,865.00","1,840.00","1,840.00",-5.00,"81,572"
2026-03-27,"33,883,223","61,384,010,665","1,805.00","1,825.00","1,800.00","1,820.00",-20.00,"165,562"
2026-03-30,"46,272,405","82,684,350,734","1,780.00","1,800.00","1,780.00","1,780.00",-40.00,"335,778"
2026-03-31,"75,832,456","134,202,434,218","1,775.00","1,790.00","1,760.00","1,760.00",-20.00,"472,213"
2026-04-01,"46,457,423","85,667,372,522","1,840.00","1,855.00","1,830.00","1,855.00",+95.00,"103,263"
2026-04-02,"29,332,490","53,540,295,381","1,865.00","1,865.00","1,805.00","1,810.00",-45.00,"189,628"
2026-04-07,"19,895,445","36,785,851,775","1,850.00","1,860.00","1,835.00","1,860.00",+50.00,"72,329"
2026-04-08,"53,813,263","104,453,237,705","1,935.00","1,950.00","1,925.00","1,950.00",+90.00,"169,595"
2026-04-09,"36,054,784","70,112,621,815","1,945.00","1,955.00","1,930.00","1,955.00",+5.00,"90,439"
2026-04-10,"39,096,242","77,669,362,959","1,975.00","2,000.00","1,970.00","2,000.00",+45.00,"125,121"
2026-04-13,"31,882,568","63,311,620,986","1,985.00","1,995.00","1,975.00","1,990.00",-10.00,"123,461"
2026-04-14,"46,188,401","93,890,695,630","2,015.00","2,055.00","2,010.00","2,055.00",+65.00,"175,477"
2026-04-15,"46,824,833","97,435,290,780","2,065.00","2,100.00","2,060.00","2,080.00",+25.00,"144,126"
2026-04-16,"35,974,352","74,662,997,629","2,080.00","2,090.00","2,055.00","2,085.00",+5.00,"121,077"
2026-04-17,"44,433,257","90,757,552,556","2,055.00","2,060.00","2,030.00","2,030.00",-55.00,"254,377"
2026-04-20,"30,566,172","62,379,639,275","2,030.00","2,055.00","2,025.00","2,025.00",-5.00,"99,020"
2026-04-21,"28,055,761","57,761,069,758","2,050.00","2,075.00","2,045.00","2,050.00",+25.00,"75,235"
2026-04-22,"27,457,065","56,435,407,734","2,045.00","2,070.00","2,040.00","2,050.00", 0.00,"83,438"
2026-04-23,"54,918,117","114,822,791,851","2,090.00","2,135.00","2,055.00","2,080.00",+30.00,"161,370"
2026-04-24,"52,391,785","112,917,570,260","2,110.00","2,190.00","2,105.00","2,185.00",+105.00,"174,859"
2026-04-27,"79,778,277","183,309,899,207","2,280.00","2,330.00","2,265.00","2,265.00",+80.00,"323,994"
2026-04-28,"57,336,004","128,432,565,716","2,245.00","2,280.00","2,215.00","2,215.00",-50.00,"308,514"
2026-04-29,"49,147,402","107,324,137,160","2,175.00","2,210.00","2,165.00","2,180.00",-35.00,"233,692"
2026-04-30,"59,584,011","129,082,703,075","2,205.00","2,215.00","2,135.00","2,135.00",-45.00,"290,470"
2026-05-04,"44,458,732","99,944,198,300","2,200.00","2,285.00","2,195.00","2,275.00",+140.00,"129,173"
2026-05-05,"26,644,983","60,009,590,420","2,250.00","2,270.00","2,240.00","2,250.00",-25.00,"153,870"
2026-05-06,"38,026,963","85,874,042,414","2,250.00","2,285.00","2,240.00","2,250.00", 0.00,"125,342"
2026-05-07,"41,966,283","97,374,950,118","2,335.00","2,345.00","2,310.00","2,310.00",+60.00,"127,355"
2026-05-08,"31,730,352","72,760,055,995","2,300.00","2,310.00","2,265.00","2,290.00",-20.00,"153,342"
2026-05-11,"46,172,626","104,025,934,565","2,265.00","2,275.00","2,235.00","2,235.00",-55.00,"377,408"
2026-05-12,"54,239,538","121,891,443,938","2,235.00","2,280.00","2,210.00","2,255.00",+20.00,"183,443"
2026-05-13,"43,727,683","96,933,847,961","2,205.00","2,240.00","2,205.00","2,220.00",-35.00,"259,489"
2026-05-14,"39,564,699","89,220,307,307","2,250.00","2,270.00","2,230.00","2,270.00",+50.00,"83,872"
2026-05-15,"34,360,513","78,454,021,723","2,310.00","2,325.00","2,250.00","2,265.00",-5.00,"129,447"
